URLS,Headline,Article
/sports/cricket/news/windies-dump-hetmyer-t20-world-cup-3134721,WIndies dump Hetmyer for T20 World Cup,"West Indies dropped Shimron Hetmyer from the upcoming T20 World Cup in Australia after the batter missed a rescheduled flight, Cricket West Indies announced on Monday.The 25-year-old from Guyana was replaced on the roster by Shamarh Brooks in a decision by the Cricket West Indies selection panel after Hetmyer missed his flight to Australia, which had been moved due to family reasons.After a seat was found on a Monday flight to New York, Hetmyer told CWI on Monday morning that he would be unable to get to the Guyana airport in time to make his flight to New York.""This afternoon we informed the CWI board of directors that the selection panel had unanimously decided to replace Shimron Hetmyer with Shamarh Brooks in our T20 World Cup squad,"" CWI director of cricket Jimmy Adams said.""Whilst we changed Shimron's flight from Saturday to Monday due to family reasons, it was made clear to him that if there were any further delays and issues with his travel to Australia then we would have no choice but to replace him in the squad, as we are not prepared to compromise the team's ability to prepare for this extremely important global event.""Brooks will fly out later this week and miss T20 International matches against Australia on Wednesday at Gold Coast and Friday at Brisbane, instead joining the squad at Melbourne.""Shamarh has been a part of our recent T20 International squads and delivered strong performances in the latter stages of the recently concluded CPL (Caribbean Premier League),"" Adams said.The West Indies is in Group B of the T20 World Cup alongside Scotland, Ireland and Zimbabwe with the top two from the group stage advancing to the Super 12s.West Indies open October 17 against Scotland."
/news/bangladesh/elections/news/fingerprint-mismatch-law-ministry-get-ec-proposal-soon-3134361,Fingerprint mismatch: EC to propose amendment to RPO soon,"The Election Commission has finalised the proposal for empowering the election officials to allow up to 1 percent of voters in a polling booth to cast votes through EVMs if their fingerprints do not match with biometrics data stored in the EC server.The EC will send the proposal to the law ministry very soon so that the process to amend the Representation of the People Order (RPO) could start, Election Commissioner Md Alamgir told reporters at his EC office yesterday.At present, the commission issues circulars mandating presiding officers and assistant presiding officer to exercise this authority.The proposed amendment to the RPO, if passed, will give a legal basis to the practice.If the proposal becomes law, over 1 percent of voters at a polling booth will not be able to vote if their fingerprints do not matched.There have been allegations that the election officials sometimes misuse this authority and allow even up to 25 percent voters in a polling booth to cast votes in cases of fingerprint mismatch."
/nrb/news/ransom-paid-bangladeshi-abducted-malaysia-yet-be-freed-3134746,Ransom paid but Bangladeshi abducted in Malaysia yet to be freed,"A 39-year-old Bangladeshi expatriate, who was abducted in Malaysia on September 25, 2022, was not released even after the payment of Tk 5 lakh ransom.Victim Sohel Miah's family members have lodged complaints with Bangladesh and Malaysia police stations as he remains traceless for nine days.Sohel, son of late Ahmed Miah of Dakshin Dhalapara village in Ghatail upazila of Tangail, has been working in a factory in Malaysia for over 15 years.According to Sohel's neighbours in Malaysia, the abductors picked him up from in front of his home in Tamiljaya neighborhood of Kuala Lumpur, the capital of Malaysia, on September 25 at 9pm (local time).Mizan, another Bangladeshi expatriate and next-door neighbour of Sohel, said, ""On the day of the incident, the victim came from work and spoke to his mother on mobile phone before going down. He was picked up from in front of his house by the abductors.""On September 28, Sohel's brother-in-law, Billal Hossain, filed a complaint with Ghatail Police Station in Tangail in this regard.On the other hand, Hashem Ahmed, a relative of Sohel and also a Malaysian expatriate, filed a complaint with Johor Bahru Police Station in Malaysia on October 2, 2022.According to the complaint lodged with the police stations, Billal received a call from a Malaysian number on September 25. Abductors threatened that if he doesn't pay Tk 5 lakh, Sohel will be killed. The next morning at 10 am, Sohel called him from the same number and said, ""If you don't send the money quickly, they will kill me"".Where or to whom should the money be sent? -- When asked, another Bangladeshi took the phone from Sohel and gave the account number of an organisation named Kulpatoa Poultry Feed under Janata Bank Barishal branch and asked Billal to send the ransom there.The family of Sohel quickly raised the ransom money by taking a loan. The funds were then deposited to the bank account provided by the abductors on September 27.A money receipt for Tk 5 lakh was sent to the abductors' WhatsApp account on the same day. The kidnappers responded with ""OK"" from the other end.However, the phone number is now switched off and there has not been any communication since that time.Contacted, Nazmus Sadat Selim, minister (labour) of Bangladesh High Commission in Malaysia, said the high commission is not aware of the abduction. So far, no written complaints have been received yet. The High Commission will act quickly if it receives a complaint, he added."
/business/economy/news/rampal-power-plant-take-time-start-running-3134451,Rampal power plant to take time to start running,"One of the Rampal power plant's two units was inaugurated last month but it still requires some machinery to practically start running. Moreover, a lack of synchronisation has led to the government incurring extra costs in the form of demurrage being paid to ships which have already arrived with coal but are having to await construction of the plant's jetties.The Maitree super thermal power project is being implemented by Bangladesh-India Friendship Power Company, a 50:50 joint venture between Bangladesh Power Development Board and Indian government-owned electric utility company National Thermal Power Corporation.It is located at Rampal in Bagerhat district, which is 14 kilometres north-west of the Sundarbans mangrove forest.The plant is approximately costing $2 billion, of which $1.6 billion is being sourced as Indian Development Assistance under a concessional financing scheme.Bangladesh Premier Sheikh Hasina and India's Prime Minister Narendra Modi virtually inaugurated one of the plant's two units on September 6 during an official visit of the former to Delhi.At that time, it was announced that the plant would start running on the first week of October.""We have started trial…production capacity showed 160MW so technical setups are required to take the generation capacity of a single unit to the targeted 660MW,"" said Sayeed Akram Ullah, managing director of Bangladesh-India Friendship Power Company last week.""We are expecting it would take at least mid-November to go into commercial generation of power as it is not the type of work that can be completed overnight…it is a technical work related to technology,"" he said.Akram hopes for the second unit to start running in April next year.Regarding the construction of the plant's three jetties, he said one was complete.The three will enable unloading 5,000 tonnes of coal in four hours, which is the amount of fuel the two units will need every day to produce 1,320MW of electricity, he said.Sources informed that coal-laden ships were already at the site awaiting unloading and being paid demurrage.Another issue was that draft of the Pasur river adjoining the plant was less than four metres, for which multiple lighters were needed instead of the mother ship coming right in.This requires dredging, said Akram.Subash Chandra Pandey, director of the project, did not provide any comment in this regard. "
/news/world/usa/news/trump-sues-cnn-defamation-seeks-475-million-3134726,"Trump sues CNN for defamation, seeks $475 million","Former US president Donald Trump sued CNN for defamation on Monday, seeking $475 million in punitive damages and claiming the network had carried out a ""campaign of libel and slander"" against him.Trump claims in his lawsuit, filed in US District Court in Fort Lauderdale, Florida, that CNN had used its considerable influence as a leading news organisation to defeat him politically.CNN declined to comment on the case.Trump, a Republican, claims in the 29-page lawsuit that CNN had a long track record of criticising him but had ramped up its attacks in recent months because the network feared that he would run again for president in 2024.""As a part of its concerted effort to tilt the political balance to the left, CNN has tried to taint the Plaintiff with a series of ever-more scandalous, false, and defamatory labels of 'racist,' 'Russian lackey,' 'insurrectionist,' and ultimately 'Hitler,'"" the lawsuit claims.The lawsuit lists several instances in which CNN appeared to compare Trump to Hitler, including a January 2022 special report by host Fareed Zakaria that included footage of the German dictator.Trump, who in 2020 lost a re-election bid to Democrat Joe Biden, has not said whether he would seek re-election.In a statement, the former president said he would be filing lawsuits against other major media companies ""in the coming weeks and months,"" and that he could even take action against a congressional committee probing the Jan. 6, 2021, attack on the US Capitol by his supporters.The lawsuit comes as the 76-year-old former president faces considerable legal woes, including a criminal investigation by the US Justice Department for retaining government records at his Mar-a-Lago estate in Florida after leaving office in January 2021.Trump was sued last month by New York state Attorney General Leticia James, who has accused him of lying to banks and insurers over the value of his assets."
/business/economy/news/govt-getting-ready-cepa-talks-india-3134436,Govt getting ready for CEPA talks with India,"Bangladesh has started the groundwork to begin negotiations for signing a Comprehensive Economic Partnership Agreement (CEPA) with India, as has been agreed upon by top leaders of both countries last month. If it is finally signed, the CEPA will be the first, full-fledged trade agreement for Bangladesh.The country has been lobbying with major trading partners for many years to get free trade agreements (FTAs) signed.So far, only a preferential trade agreement (PTA) could be signed with Bhutan in December 2020.It enables duty free access to 34 Bhutanese and 100 Bangladeshi goods.""We are taking our preparations for starting the negotiation with India as this is a trade agreement which has three components -- tariff, services and investment,"" said Senior Commerce Secretary Tapan Kanti Ghosh.Senior Commerce Secretary Tapan Kanti Ghosh said since India was a very big source for imports and also a big potential export destination, a lot of research needs to be conducted before the formal start of the negotiations 


Senior Commerce Secretary Tapan Kanti Ghosh said since India was a very big source for imports and also a big potential export destination, a lot of research needs to be conducted before the formal start of the negotiations Ghosh said since India was a very big source for imports and also a big potential export destination, a lot of research needs to be conducted before the formal start of the negotiations.So, the commerce ministry is conducting studies to identify the kinds of goods Bangladesh imports, the kinds of goods that may be exported to India and the historic trade trends between the two countries, he said.However, neither country has sent any formal letter so far on starting negotiations.Still, Prime Minister of Bangladesh Sheikh Hasina and Prime Minister of India Narendra Modi had announced in a joint statement that the CEPA negotiations would start from December this year.""I am also hopeful that the formal negotiations will start from December,"" Ghosh also said.Since the CEPA is a detailed form of an FTA and India is a major source for imports, experts suggested maintaining a list of sensitive commodities so that the government can also generate a significant amount of revenue from import duties from India.Last fiscal year, Bangladesh imported goods worth $16.19 billion from India, the second biggest source of imports after China.The Bangladesh government also generated more than Tk 15,000 crore from the import duty from India.Also last month, a joint study said Bangladesh might not make a large gain from the proposed CEPA as Bangladesh would lose its duty-free market access benefit to the Indian markets which was provided for it being a least developed country (LDC).Comparatively, India will make a larger gain from the trade deal primarily because through the removal of high tariff rates which it currently faces in Bangladesh, said the Joint Feasibility Study on the CEPA.Bangladesh Foreign Trade Institute (BFTI) and the Indian Centre for Regional Trade (CRT) jointly conducted the study last week based on trade data of both countries between 2015 and 2020.Prime Minister of Bangladesh Sheikh Hasina and Prime Minister of India Narendra Modi on September 5 discussed the proposed CEPA negotiations during an official visit of Hasina to India.The CEPA is a part of Bangladesh's preparations for retaining duty benefits once it makes the United Nations status graduation from an LDC to a developing nation in 2026.Moreover, Bangladesh has the potential to benefit from the trade of services in tourism, transport and educational cooperation and also creation of jobs locally from Indian investment.However, Bangladesh should slowly liberalise or maintain a list of sensitive products which is widely practised in signing such deals worldwide, experts said.Therefore, the trade relationship with India is dominated by imports. If goods and services through informal channels were considered, imports from India would increase substantially. India is an important travel, education, and health tourism destination for Bangladesh, the study said.Bangladesh is one of the most protected economies in the world with the nominal protection rate being as high as 27 per cent.If Bangladesh signs an FTA with India, leaving the current high tariff rates unchanged, trade diversion effects will be substantial.It has been estimated that an FTA or CEPA-kind of agreement with India alone could result in trade diversion worth of $700 million, said MA Razzaque, research director of Policy Research Institute (PRI).This is the amount of trade that is now taking place with other countries but would be lost due to preferential tariffs granted to one country, he said last month.Furthermore, about 14 per cent of Bangladesh's imports are sourced from India with an average applied tariff rate of more than 20 per cent.""We have estimated that the potential tariff revenue loss from a comprehensive bilateral goods trade agreement with India will be to the tune of around $2 billion,"" he added.Some 67.3 per cent of the total capital goods imports from India were duty free followed by 56.9 per cent of fuel imports and 30.2 per cent of industrial supplies. "
/business/economy/news/cheaper-cotton-raises-hopes-higher-rmg-work-orders-3134341,Cheaper cotton raises hopes of higher RMG work orders,"The slowdown in demand and stronger US dollar worldwide has pushed down cotton prices in the international market, raising hopes of increased work orders from global brands and retailers among local garment makers.Cotton prices fell to around 84-85 cents per pound in the International Futures yesterday from the previous rate of between $1.05 and $1.06 per pound last month.""We may receive more work orders from abroad because of the price fall of cotton but at the same time, global retailers and brands will put pressure on local suppliers to reduce prices,"" said Faruque Hassan, president of the Bangladesh Garment Manufacturers and Exporters Association.So ultimately, local garment suppliers might not be greatly benefited from the significant price fall of cotton, he added.Similarly, local spinners, millers and cotton importers may not have reason to cheer for the fall in cotton prices because they already have unsold stockpiles of yarn.Razeeb Haider, director of the Bangladesh Textile Mills Association, said spinners currently have a lot of unsold yarn in their mills because of lower demand from garment manufacturers.So, the spinners might not be benefited from the price fall of cotton in international markets, he said, adding that higher inflation and lower demand has put them in a tight corner.Moreover, spinners cannot spin cotton adequately because of low gas pressure that has restricted production by almost 50 per cent.In addition, importers do not feel encouraged to import more cotton because of the higher price of US dollar, he added.As such, Bangladesh cannot take the opportunity of lower cotton price now, Haider said.Bangladesh imports 9.5 million tonnes of cotton annually at a cost of more than $3 billion.Global cotton production is up 1.4 million bales at 118.4 million, and stocks are projected higher this month and unchanged from the previous year, according to United States Department of Agriculture (USDA) last month.Consumption is down slightly at 118.6 million bales with lower projected use in Pakistan and Vietnam.Global trade is unchanged though as higher US exports more than offset lower shipments of the fibre from Brazil.The US balance sheet shows higher beginning stocks, production, exports, and ending stocks. Production has grown to 1.3 million bales with larger prospects for most major producing states compared with last month, the USDA report said."
/news/asia/news/north-korea-tests-longest-range-missile-over-japan-3134711,North Korea tests longest-range missile over Japan,"-- Missile flies over Japan for first time since 2017-- May have been intermediate-range ballistic missile-- Japan issues shelter warning, stops some trains-- Apparent test condemned by US, S Korea, JapanNuclear-armed North Korea fired a ballistic missile over Japan for the first time in five years on Tuesday, prompting a warning for residents to take cover and a temporary suspension of train operations in northern Japan.The Japanese government warned citizens to take cover as the missile appeared to have flown over and past its territory before falling into the Pacific Ocean.It was the first North Korean missile to follow such a trajectory since 2017, and Tokyo said its 4,600 km (2,850 miles) range may have been the longest distance travelled for a North Korean test flight, which are more often ""lofted"" higher into space to avoid flying over neighbouring countries.The latest launch was Pyongyang's fifth in 10 days, amid military muscle-flexing by the United States, South Korea, and Japan. Last week, the three countries conducted trilateral anti-submarine exercises that included a US aircraft carrier, which stopped in South Korea for the first time since 2017.Recent tests have drawn relatively muted responses from Washington, which is focused on the war in Ukraine as well as other domestic and foreign crises, but the US military has stepped up displays of force in the region.Tokyo said it took no steps to shoot the missile down. Defence Minister Yasukazu Hamada said Japan wouldn't rule out any options, including counterattack capabilities, as it looks to strengthen its defences in the face of repeated missile launches from North Korea. South Korea also said it would boost its military and increase allied cooperation.""North Korea's series of actions, including its repeated ballistic missile launches, threatens the peace and security of Japan, the region, and the international community, and poses a serious challenge to the entire international community, including Japan,"" Japan's top government spokesperson Hirokazu Matsuno, told a news conference.Officials in Tokyo and Seoul said the missile flew between 4,500 to 4,600 kilometres (2,850 miles) to a maximum altitude of about 1,000 km.South Korea's Joint Chiefs of Staff (JCS) said it appeared to have been an intermediate-range ballistic missile (IRBM) launched from North Korea's Jagang Province. North Korea has used that province to launch several recent tests, including multiple missiles that it claimed were ""hypersonic.""The test prompted East Japan Railway Co (9020.T) to suspend train operations in the northern regions, Japanese broadcaster NHK reported. Matsuno said there were no reports of damage to aircraft or ships from the missile.The initial flight details suggest the missile may have been the Hwasong-12 IRBM, which North Korea unveiled in 2017 as part of its threatened plan to strike US military bases in Guam, said Kim Dong-yup, a former South Korea Navy officer who now teaches at Kyungnam University.The Hwasong-12 was used in 2017 tests that overflew Japan, and Kim noted it was also test fired from Jagang Province in January.Flying a missile such a long distance allows North Korea's scientists to test missiles under more realistic conditions, said Ankit Panda of the US-based Carnegie Endowment for International Peace.""Compared to the usual highly lofted trajectory, this allows them to expose a long-range reentry vehicle to thermal loads and atmospheric reentry stresses that are more representative of the conditions they'd endure in real-world use,"" he said.""Politically, it's complicated: the missile largely flies outside of the atmosphere when it's over Japan, but it's obviously distressing to the Japanese public to receive warnings of a possible incoming North Korean missile.""North Korea's flurry of missile testing helps make more of its weapons operational, develop new capabilities and sends a message that development is s sovereign right, analysts said.North Korea's missile and nuclear weapons programmes are banned by United Nations Security Council resolutions, which have imposed sanctions on the country.South Korean President Yoon Suk-yeol called the test ""reckless"" and said it would bring a decisive response from his country's military, its allies and the international community.He has pushed for more military muscle to deter the North, and South Korea staged its own show of advanced weaponry on Saturday to mark its Armed Forces Day, including multiple rocket launchers, ballistic missiles, main battle tanks, drones and F-35 fighters.Speaking to reporters in Tokyo, Japanese Prime Minister Fumio Kishida called North Korea's actions ""barbaric"", and said the government would continue to gather and analyse information.The launch over Japan was ""unfortunate"" and ""not a productive path forward,"" Daniel Kritenbrink, the top US diplomat for East Asia, said during an online event hosted by the Institute for Corean-American Studies.The North has completed preparations for a nuclear test, which it might look to undertake sometime between China's Communist Party Congress this month and US mid-term elections in November, South Korean lawmakers said last week."
/news/bangladesh/news/where-tradition-meets-craftsmanship-3134536,Where tradition meets craftsmanship,"It is very easy for one to get woefully lost in the crevices and back alleys of Old Dhaka even with a guidebook. When one thinks of visiting Old Dhaka, Shakhari Bazar is a place that gets mentioned by almost all who either have lived or visited the area, thanks to its history associated with craftsmen.With the advent of Puja, Shakhari Bazar livens up with festivity and sales.Located near the intersection of Islampur Road and Nawabpur Road -- the two main arteries of the old city and only a block away from the Buriganga, Shakhari Bazar stretches along a narrow lane, lined with thin slices of richly decorated brick buildings built during the late Mughal or colonial period.The name of the area is credited to the Shakhari community, who have kept the craft of making and selling ""Shakha"" (a white bangle made out of conch shells) -- traditionally worn by married Hindu women -- alive for ages.The history of Shakhari Bazar dates back to the pre-Mughal days, if not earlier. The first mention of Puran Dhaka can be found in the writings of Mirza Nathan, the general turned historian, who travelled with Subahdar Islam Khan.He mentioned Puran Dhaka as the area between Dholai Khal and Buriganga river -- covering Shakhari Bazar, Tanti Bazar, Bangla Bazaar, Lakhsmi Bazaar, Bangla Bazaar, Kamar Nagar, Sutar Nagar, Goala Nagar, and many more. Each ""mohalla"" or area used to belong to separate communities, depending on their craft and trade.However, the Liberation War changed this demography as many Hindu craftsmen had to leave everything behind to save their lives.The ones who survived are the ones who have continued the lineage of their ancestral profession to the modern day, despite various difficulties. These craftspeople care deeply about their craft, so much so that many have said that their business and their very existence are intertwined.And when one sees any of these ""Shakha"" or ""Pola"", that dedication surely reflects.This correspondent spoke to many who are involved in this traditional craft at Shakhari Bazar, to understand the state of their affairs ahead of puja.Shourav Chandra Shur (29), a Shakha and Puja appliance salesman at ""Sreeguru Bhander"", said, ""I'm the third generation in this business. My father and grandfather still take charge of a few of the shifts.""""We are seeing better sales now, owing to the puja season. Orders for this season were already sent out two months ahead. Our regulars are already picking up their orders,"" he added.Walking down the winding Shakhari Bazar road, this correspondent saw crowds gathering in almost every store. Some were visiting with their mothers, in-laws and daughters to buy Shakha and Pola.Nandita Deb, a local who was seen at ""Shur Brothers"", said, ""I live in Road-52 in this area. I visit this store every year because they sell the best Shakha. The price this time has not increased drastically as well.""Johnny Shukh (35), a salesman at ""Nag Vander"" has been working there for almost 14 years now. He highlighted that while there used to be many artisans available, their numbers have reduced over time.""There was once a time we could do everything -- from making the initial structure, down to the final polish. Now we just sell ready-made products. Many of these products come from India.""""A single shakha has to go through nine artisans to procure the final product. Hence, we don't bring in the raw, plain ones anymore as we only have a few artisans who can engrave designs on the shakhas,"" added Johnny.Speaking on the current puja sales and stock, he said, ""We usually bring around 2,000 to 4,000 shakhas in a single lot. At the store, we keep shakhas ranging between Tk 300 and Tk 5,000.""""During puja, shakhas worth Tk 700 to Tk 800 sell out the fastest. Some customers purchase shakhas worth Tk 400 to Tk 600 for rough use. The thick and wide ones are quite popular this season and their cost starts at Tk 3,000,"" he added.On the other hand, Kartik Chandra Dhar, proprietor of Mahabir Pola Store, said, ""Like everyone else, our business suffered greatly during the last two years due to the Covid-19 pandemic. We are seeing a rush during puja season, but I can't say that sales have risen exponentially.""""The pola that you're seeing here is brought to Chawkbazar from India. If products worth Tk 5,000 are sold, we bring in more,"" he added.The biggest crowd was seen at ""Ma Mansha Shankha Shilpolay"" where four salesmen were seen tending to eager customers.Papiya Ray, a Wari resident who was seen purchasing Shakha from ""Ma Mansha Shankha Shilpaloy"", said, ""I have been coming to this store ever since I got married. I love coming here since the shop owners know me personally and treat me dearly. They know exactly what I like and I can come here any time to get repairs done.""Shoumitra Nath, one of the owners, said, ""Starting from the first of the Bangla month of Ashwhin till puja, we have made really good business. The biggest issue is that due to the price hike of gold, the premium shakhas are selling less.""""In terms of design, we try to keep up with the latest trends. For example, this puja, wide shakhas are quite popular. Customers are mostly purchasing shakha within the range of Tk 200 to Tk 600. We get a lot of sales during the wedding season as well,"" he said.Speaking of their craft, Shoumitra said, ""This business has been our ancestral profession for about 100 years now. Currently, my father is in charge, after him, it will be me and then my son.""""Our business only caters to the demand that exists, and the pool of people we sell to is very small. But I can say for sure that as long as our religious practices and religious harmony exist, so will our business,"" he added.   "
