/business/economy/news/creating-jobs-bringing-home-dollars-3135206,"Creating jobs, bringing  home dollars","Today, it has grown into a family of more than 500 individuals working with 25 studios globally and processing around 25,000 photos every day.Kowser Ahmed Nirob, CEO and founder of The KOW Company, thinks image editing, computer-generated imagery, 3D, and content post-production segments have a big potential to fetch foreign currencies.From Bangladesh, many people go to the Middle East spending Tk 5 lakh to Tk 6 lakh.
If we can brand well, our firms will get smooth access to the global market,"" he said.
"
/news/bangladesh/news/uk-us-visit-pm-address-media-tomorrow-3135511,"UK, US visit: PM to address media tomorrow","Prime Minister Sheikh Hasina will address a press conference tomorrow afternoon (October 6, 2022) on the outcome of her recent official trip to the UK and the USA.The press conference will start at 4pm at her official residence Gono Bhaban, PM's Press Secretary Ihsanul Karim said.PM Hasina returned home yesterday (October 4, 2022) after completing her 18-day visit.She went to London on September 15, mainly to attend Queen Elizabeth II's funeral and a reception hosted by King Charles llI.On September 19, she left London for New York while on September 24 she went to Washington DC.Sheikh Hasina addressed the 77th session of the United Nations General Assembly on September 23.
She also took part in several events on the sidelines of the UNGA.
"
/news/world/news/south-korean-missile-fails-after-successful-north-korean-rocket-test-3135506,South Korean missile fails after successful North Korean rocket test,"In addition to missile launches, they involved bombing runs by F-15 strike jets using precision munitions.North Korea's successful launch of a nuclear-capable ballistic missile hours before the drills was the country's most provocative weapons demonstration since 2017 and was its fifth round of weapons tests in 10 days.That missile has a range capable of striking Guam, which is home to one of the largest military facilities maintained by the US in Asia.
North Korea in 2017 also tested missiles capable of hitting the continental United States.North Korea has fired nearly 40 ballistic missiles over about 20 different launch events this year, exploiting Russia's war on Ukraine and the resulting deep divide in the UN Security Council to accelerate its arms development without risking further sanctions.Its aim is to develop a fully fledged nuclear arsenal capable of threatening the US mainland and its allies while gaining recognition as a nuclear state and wresting concessions from those countries.The United States, Britain, France, Albania, Norway and Ireland called for an emergency meeting of the UN Security Council over the latest North Korean launch.
"
/business/economy/news/4ir-e-sports-and-bangladesh-3135166,"4IR, e-sports and Bangladesh","But the vastly cerebral and online nature of e-sports ensures that they are unfettered by international borders, and even a wheelchair-bound teenage girl from Bangladesh can go toe to toe with a European professional e-sports player from halfway around the world and actually win, should she have the skills to do so, without even having to be in the same continent, let alone in the same physical arena.E-sports offer greater foundations of equality, tolerance and acceptance, where issues such as age, gender, ethnicity and/or many kinds of physical handicaps are irrelevant, and players are gauged solely on the basis of their talents and abilities.
E-sports can build bridges where traditional sports can't, and Bangladesh must embrace it.
"
/news/bangladesh/news/patients-suffered-the-most-3135156,Patients suffer the most,"""But it [IPS] did not last long … Now we're sitting in complete darkness amid this hot weather,"" he said.ATMs of different banks in many areas were found shut as their backup power died.Abdur Rahim, employee of a private organisation, tried to withdraw cash from ATM booths in Savar.
""Security guards told me they shut booths as backup power ran out,"" he said.
"
/environment/natural-resources/energy/news/businesses-dealt-blow-3135461,Businesses dealt a blow,"Business and industrial activities were disrupted for several hours since yesterday afternoon as the national power grid failed, plunging half of the country into darkness.Many factories, including export-oriented garment units in Gazipur, Narayanganj, Savar and Ashulia, could operate for more than six hours with standby generators.
""We had to let our second-shift workers go home around 6:30pm amid uncertainty over when the power connectivity would be restored.
"
/sports/cricket/news/rossouws-dream-ton-helps-south-africa-thrash-india-third-t20-3135496,Rossouw's 'dream' ton helps South Africa thrash India in third T20,"""Areas of concerns, we have to look at our bowling, what more options we can find in the powerplay, middle and death,"" said Rohit whose side also beat Australia 2-1 in a three-match T20 series last month.
It will be challenging and we need to find answers, still working towards that.
"
/youth/education/news/no-campus-housing-most-public-univ-teachers-3135481,No on-campus housing for most public univ teachers,"A staggering 78 percent of public university teachers have no on-campus residential facilities, hampering their daily activities like taking classes or doing research work.According to the latest annual report of the University Grants Commission, only 22 percent of 15,426 public universities have on-campus housing for teachers.UGC officials said the lack of campus residences for teachers has been a long-standing problem.In 2016, 77 percent of the public universities did not have such facilities, and in 2011 it was 75 percent, they said.
Teachers also pointed out that as most of them stay outside the campus, interactions with students are not satisfactory.Those who have to live outside the campus also have to spend a large part of their salaries on house rent.They also had to spend extra time and money on commuting to and from university.Many teachers alleged they had to unwillingly join ""teacher politics"" or had to have ""good connections with ruling party-backed teacher organisations"" in order to get residential facilities or have an apartment allotted to them.Prof Nizamul Hoque Bhuiyan, general secretary of the Federation of Bangladesh University Teachers Association, said if a teacher can have on-campus housing, they can reach classes on time.Teachers and other university officials, like provosts and tutors, living in metropolitan cities suffer the most as commuting through traffic renders them unable to respond quickly to emergency situations, said Nizamul, also the GS of Dhaka University Teachers' Association.Against this backdrop, the country is observing World Teachers' Day today with the theme -- ""The Transformation of Education Begins with Teachers"".Since 1994, the World Teachers' Day is observed annually to celebrate the contribution of teachers around the globe.It is a day to celebrate how teachers are transforming education but also to reflect on the support they need to fully deploy their talent and vocation, and to rethink the way ahead for the profession globally.Former UGC chairman AK Azad Chowdhury said that on-campus housing for teachers offers numerous benefits to both teachers and students and could help develop their interaction.Teachers will be able to spend more time on their research and guide students' researches, said Azad, also former vice chancellor of Dhaka University.Contacted, UGC Secretary Ferdous Zaman said a teacher of a public university in Dhaka gets 50 percent of house rent included in their salaries, while those in divisional cities get 45 percent and teachers in district towns get 40.
"
/entertainment/tv-film/news/black-panther-wakanda-forever-official-trailer-out-3135436, ‘Black Panther: Wakanda Forever’ official trailer out,"Moreover, there is a brief glimpse of actress Dominique Thorne in the new Iron Man-style armor, implying that Iron Heart will play a significant role in this film.The trailer concludes with a shot of the new Black Panther suit, which does not reveal who is wearing it, but it could be Shuri, Nakia, or even Okoye.
'Wakanda Forever' will be released in English, Hindi, Tamil, and Telugu on November 11, 2022.
"
/star-multimedia/news-multimedia/news/prof-sirajul-islam-lighthouse-history-bangladesh-3135501,Prof Sirajul Islam: Lighthouse of history of Bangladesh,"Famous historian and former teacher at Dhaka University, Professor Sirajul Islam, is the lighthouse of history of Bangladesh.He initiated and edited three volumes of History of Bengal and Banglapedia.
These books are regarded as the authentic source of information for any study or research.Today, The Daily Star talks with him about his life and work in Star Insights
"
/business/news/bgmea-demands-readjustment-diesel-prices-3135336,BGMEA demands readjustment of diesel prices,"Bangladesh Garment Manufacturers and Exporters Association (BGMEA) demanded the readjustment of the price of diesel in the local market in accordance with the price fall of the fuel oil in the international markets.Faruque Hassan, president of the BGMEA, sent a letter to the prime minister on October 3, for reducing the price of diesel oil for the sector as many factory owners have to run their units with expensive diesel oil although the price fell in the international markets.In the letter signed October 2, Hassan said last year diesel was sold at Tk80 per litre and this year it is sold at Tk109 now in the domestic market.Many factories have been running with diesel oil to offset the losses from the load-shedding, BGMEA said in the letter.
The Daily Star obtained a copy of the letter.However, they are facing difficulties in running the units with expensive diesel oil, according to the letter.
"
/sports/football/news/denmark-will-travel-qatar-wc-without-families-human-rights-protest-3135486,Denmark will travel to Qatar WC without families in human rights protest,"""Qatar has faced intense criticism from human rights groups and media over its treatment of migrant workers.A Guardian newspaper analysis in Feb. 2021 concluded 6,500 South Asian migrants had died in Qatar since 2010 and the International Labour Organisation has said Qatar is not adequately reporting worker deaths.Qatar's World Cup organisers, the Supreme Committee for Delivery and Legacy (SC), have disputed the claim that ""the tournament has cost thousands of people their lives"".The government has said its labour system is a work in progress, but denied a 2021 Amnesty report that thousands of migrant workers were still being exploited.Sportswear company Hummel said last week that the kit Denmark will wear at the World Cup was designed as a protest against Qatar's human rights record.Hummel said it had toned down the details on Denmark's World Cup jerseys and also released a black kit.
The DBU also reduced trips to Qatar for its board members, local media reported last week.
"
/news/asia/india/news/25-dead-after-bus-carrying-wedding-party-falls-gorge-indias-uttarakhand-3135521,25 dead after bus carrying wedding party falls into gorge in India’s Uttarakhand,"Twenty-five people were killed as a bus carrying a wedding party of nearly 50 persons fell into a gorge in north Indian state Uttarakhand's Pauri Garhwal district yesterday (October 4, 2022), the Indian media reported today (October 5, 2022).A total of 21 passengers were rescued by the state disaster response force and police following an overnight operation at the spot of accident near Simdi village, our New Delhi correspondent reports quoting ANI.
Police and State Disaster Force rescued 21 people overnight and the injured have been admitted to nearby hospitals,"" Uttarakhand state police chief Ashok Kumar told ANI.
"
/tech-startup/science-gadgets-and-tech/tech-news/news/musk-offers-pay-44-bn-buy-twitter-3135391,Elon Musk offers to pay $44 bn to buy Twitter to end legal battle,"""Twitter could still be concerned that the same thing might happen again without some additional security,"" Anderson said.
""Columbia's Talley said he would insist on Musk putting money into an escrow account until the deal is completed.
"
/business/economy/news/small-fish-big-potential-3135171,Small fish with big potential,"""Cultivation of the recently conserved Boirali fish has started in different areas of North Bengal,"" said Kohinoor, a retired director (admin) of the BFRI who worked on the conservation of small indigenous breeds.BFRI researchers claim that certain colourful varieties native to Bangladesh are mainly used as food but have good demand as aquarium fish in different countries.With this backdrop, there is a bright potential to export these breeds, they said.In addition, farmers have the opportunity to get good catches of these fish by producing them in ponds, which is comparatively cheaper than catching them from a river.The institute has so far developed 57 aquaculture and management technologies and most of them have already been transferred to the field level to help increase overall fish production.The institute has also successfully researched Thai Pangas, GIFT tilapia, native and exotic carp and non-carp species, and mud eel for commercial production.The cultivation of these fishes has commercially been successful at the farmers' level and the BFRI is supporting them by delivering fish fry, seed and technologies when they need, said Robiul Awal, senior scientific officer of the BFRI.
""I cultivate the fish in 65 ponds and they are cheaper to produce compared to varieties of carp,"" he added.Rony also produces fish fry that are supplied to different districts of the country, including Rajshahi, Natore, Sirajganj and Sylhet.Sabuj Mia of Guilakanda village and Tajul Islam of Dekuarcahr village in Iswarganj upazila also expressed satisfaction over their cultivation of small indigenous fish.They said native breeds are more disease resistant than other varieties and thanked the BFRI for its all-out support.The two fish farmers then said they saw a marked rise in production after adopting modern techniques from the institute.The BFRI established a ""live gene bank"" for the conservation of small indigenous fish in 2020 and so far, 102 species have been included.
"
/business/economy/news/apparel-export-can-hit-95b-2030-riding-mmf-3135196,Apparel export can hit $95b  by 2030 riding on MMF,"Apparel exports from Bangladesh will cross $95 billion by 2030 if the country can expand its share in the global market for manmade fibre (MMF) to 12 per cent from less than 5 per cent at present, according to a recent study.MMF apparel items accounted for $222 billion of the $440 billion global garments market last year, when cotton-based products contributed $190 billion.As such, almost half of all apparel exports worldwide are of MMF products while 42 per cent are cotton-based garment items.However, the picture is reverse in Bangladesh, where 72 per cent of the garment exports are cotton-based apparels and just 24 per cent are MMF, the study said.Of the total $42 billion apparel exports from Bangladesh in the last fiscal year, $30 billion were cotton-based garment items Of the total $42 billion apparel exports from Bangladesh in the last fiscal year, $30 billion were cotton-based garment items Mohammad Abdur Razzaque, research director of the Policy Research Institute (PRI) and author of the study, presented the outcomes at a programme on ""Man-made fibres for moving up the apparel value chain in the context of LDC graduation"".The event was organised by the planning ministry at the National Economic Council auditorium in Dhaka yesterday.Of the total $42 billion apparel exports from Bangladesh in the last fiscal year, $30 billion were cotton-based garment items.Bangladesh already accounts for 16 per cent of all cotton apparel shipments worldwide and the country will soon become the largest cotton-based garments exporter as China, the largest supplier at present, has been losing its market share.Global MMF apparel exports grew by 4 per cent while that of cotton-based items shrunk by 0.5 per cent annually between 2011 and 2019.Cotton apparel exports then fell by some 15 per cent in 2020 while MMF garment shipments saw robust growth of 8 per cent in 2021.The share of MMF apparel exports from China increased from 37 per cent of the country's total garment shipments in 2010 to 74 per cent in 2021.Similarly, the share of MMF apparel shipments rose to 57 per cent from 38 per cent in Vietnam, 32 per cent from 15 per cent in India, and 26 per cent from 13 per cent in Cambodia at the same time.Meanwhile, the share of MMF garments sent from Bangladesh increased to 24 per cent from 18 per cent of the country's apparel exports during the period, the study said.The global demand for MMF-based apparel items has been growing because of uncertainty in cotton production and supply, price comparability, and certain advantages offered by such products, namely higher durability, water and wrinkle resistance, and colour retention.Other reasons include environmental concerns, the fact that 2,700 litres of water are needed to produce a single cotton t-shirt, use of pesticides in growing cotton, and plastic recycling advantage of MMF.Global fibre production stood at 109 million tonnes in 2020, when manmade synthetic fibres accounted for 68 per cent (close to 80 million tonnes).
MMF production worldwide is expected to reach about 110 million tonnes, by 2030, when the market will be worth around $100 billion compared to $62.7 in 2021.To tap into this market, Bangladesh needs to build its backward linkage capacity, Razzaque said.MMF currently comprises around 30 per cent of Bangladesh's total fibre imports with China being the largest source.Razzaque then suggested making the most of the few remaining years that Bangladesh will enjoy trade benefits as a least developed country (LDC) by offering additional cash incentives for MMF apparel exports and attract foreign investment in the sector so that the country becomes a regional supply hub.Planning Minister MA Mannan said the government has been considering paying more cash incentive to MMF-based apparel exporters as the garment sector is considered a strong component to address the challenges of LDC graduation.However, he did not say exactly how much the cash incentive would be increased as local manufacturers have already demanded 10 per cent cash incentives on export receipts of MMF to grab more of the global market share and attract foreign and local investment in the sector.The minister also said the cash incentive given on export receipts should be disbursed equally as other sectors deserve equal benefits.
"
/sports/football/news/cant-wait-read-newspaper-again-klopp-3135491,Can't wait to read newspaper again: Klopp,"Liverpool manager Juergen Klopp praised his team for riding out recent criticism of their dip in form to register a comfortable win over Rangers in the Champions League on Tuesday.Last year's Champions League and English Premier League runners-up have had a faltering start to the season, losing their opening game in Europe to Napoli and sitting a relatively lowly ninth in the domestic competition.But they brushed aside their Scottish opponents at Anfield with a 2-0 victory that would have been a bigger margin had it not been for Rangers goalkeeper Allan McGregor's heroics.
""We respect them a lot,"" he said.He was delighted with his front four of Mohamed Salah, Darwin Nunez, Luis Diaz and Diogo Jota.
"
